layer,who,surgery,cpt,status,scope,policy_title,effective,url
Medicaid,North Carolina,Lumbar fusion,22612,VERIFIED (procedure criteria),North Carolina,"NC Medicaid Clinical Coverage Policy No. 1A-30, Spinal Surgeries","July 15, 2024",https://medicaid.ncdhhs.gov/1a-30-spinal-surgeries/download?attachment
Medicaid,North Carolina,Lumbar microdiscectomy / decompression,63030,VERIFIED (procedure criteria),North Carolina,"NC Medicaid Clinical Coverage Policy No. 1A-30, Spinal Surgeries","July 15, 2024",https://medicaid.ncdhhs.gov/1a-30-spinal-surgeries/download?attachment
Medicaid,Ohio,All 12 procedures,,VERIFIED (state Medicaid doc),Ohio,OAC 5160-1-31 Prior authorization (Ohio Medicaid),"June 30, 2024",https://codes.ohio.gov/ohio-administrative-code/rule-5160-1-31
Medicaid,Oklahoma,All 12 procedures,,VERIFIED (state Medicaid doc),Oklahoma,OAC 317:30-3-31 Prior authorization for health care-related goods and ,Revised 09-01-21,https://oklahoma.gov/ohca/policies-and-rules/xpolicy/medical-providers-fee-for-service/general-provider-policies/general-scope-and-administration/prior-authorization-for-health-care-related-goods-and-services.html
Medicaid,Oregon,All 12 procedures,,VERIFIED (state Medicaid doc),Oregon,"HERC Prioritized List of Health Services, January 1, 2026","January 1, 2026",https://www.oregon.gov/oha/HPA/DSI-HERC/PrioritizedList/1-1-2026%20Prioritized%20List%20of%20Health%20Services.pdf
Medicaid,Pennsylvania,All 12 procedures,,VERIFIED (state Medicaid doc),Pennsylvania,55 Pa. Code sec. 1101.67 Prior authorization,"October 1, 1988 (as amended)",https://www.law.cornell.edu/regulations/pennsylvania/55-Pa-Code-SS-1101-67
Medicaid,Rhode Island,All 12 procedures,,VERIFIED (state Medicaid doc),Rhode Island,EOHHS Physician Manual - Prior Approval (PA) Criteria For Surgical Pro,"page updated April 28, 2026",https://eohhs.ri.gov/ProvidersPartners/ProviderManualsGuidelines/MedicaidProviderManual/Physician/PriorApprovalCriteriaforSurgicalProcedures.aspx
Medicaid,Tennessee,All 12 procedures,,VERIFIED (state Medicaid doc),Tennessee,Tenn. Comp. R. & Regs. 1200-13-16-.05 Medical Necessity Criteria (Tenn,"May 15, 2007 (amended through 2011)",https://www.law.cornell.edu/regulations/tennessee/Tenn-Comp-R-Regs-1200-13-16-.05
Medicaid,Texas,All 12 procedures,,VERIFIED (state Medicaid doc),Texas,"TMPPM Vol.2 Medical and Nursing Specialists, Physicians, and Physician","August 2026 (updated July 31, 2026)",https://www.tmhp.com/sites/default/files/file-library/resources/provider-manuals/tmppm/pdf-chapters/2026/2026-08-august/2_13_med_specs_and_phys_srvs.pdf
Medicaid,Utah,All 12 procedures,,VERIFIED (state Medicaid doc),Utah,Utah Medicaid Provider Manual - Physician Services (online edition),page shows July 2022 update,https://medicaid-manuals.dhhs.utah.gov/Physician_Services/physician_services.htm
Medicaid,Virginia,All 12 procedures,,VERIFIED (state Medicaid doc),Virginia,DMAS Practitioner Manual - Appendix D Service Authorization,Revised 9/12/2025,https://vamedicaid.dmas.virginia.gov/sites/default/files/2025-09/Practitioner%20Manual%20App%20D%20%28updated%209.12.25%29_Final_0.pdf
Medicaid,Washington,All 12 procedures,,VERIFIED (state Medicaid doc),Washington,Apple Health Physician-Related Services/Health Care Professional Servi,"January 1, 2026",https://www.hca.wa.gov/assets/billers-and-providers/physician-related-services-bg-20260101.pdf
Medicaid,West Virginia,All 12 procedures,,VERIFIED (state Medicaid doc),West Virginia,BMS Provider Manual Chapter 519.16 Surgical Services,"August 1, 2023",https://bms.wv.gov/media/40126/download?inline=
Medicaid,Wisconsin,All 12 procedures,,VERIFIED (state Medicaid doc),Wisconsin,ForwardHealth Online Handbook - Physician Services: Covered Services a,"rendered current as of August 18, 2026",https://www.forwardhealth.wi.gov/WIPortal/Subsystem/KW/Print.aspx?ia=1&p=1&sa=50&s=2&c=61
Medicare Advantage,CMS MAC: CGS J15,Cervical fusion / ACDF,22551,VERIFIED (CMS LCD/NCD),"Kentucky, Ohio",LCD L39741 - Cervical Fusion,07/07/2024 (rev. eff. 02/06/2025),https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39741
Medicare Advantage,CMS MAC: CGS J15,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,VERIFIED (CMS LCD/NCD),"Kentucky, Ohio",NCD 220.2 — Magnetic Resonance Imaging,04/10/2018,https://www.cms.gov/medicare-coverage-database/view/ncd.aspx?ncdid=177
Medicare Advantage,CMS MAC: CGS J15,Total hip arthroplasty (THA),27130,VERIFIED (CMS LCD/NCD),"Kentucky, Ohio",Total Joint Arthroplasty (L40232),03/15/2026,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=40232&ver=5
Medicare Advantage,CMS MAC: CGS J15,Total knee arthroplasty (TKA),27447,VERIFIED (CMS LCD/NCD),"Kentucky, Ohio",Total Joint Arthroplasty (L40232),03/15/2026,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=40232&ver=5
Medicare Advantage,CMS MAC: First Coast JN,Cervical fusion / ACDF,22551,VERIFIED (CMS LCD/NCD),Florida,LCD L39799 - Cervical Fusion,08/11/2024,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39799
Medicare Advantage,CMS MAC: First Coast JN,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,VERIFIED (CMS LCD/NCD),Florida,NCD 220.2 — Magnetic Resonance Imaging,04/10/2018,https://www.cms.gov/medicare-coverage-database/view/ncd.aspx?ncdid=177
Medicare Advantage,CMS MAC: First Coast JN,Total hip arthroplasty (THA),27130,VERIFIED (CMS LCD/NCD),Florida,Major Joint Replacement (Hip and Knee) (L33618),01/08/2019,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdId=33618&ver=23
Medicare Advantage,CMS MAC: First Coast JN,Total knee arthroplasty (TKA),27447,VERIFIED (CMS LCD/NCD),Florida,Major Joint Replacement (Hip and Knee) (L33618),01/08/2019,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdId=33618&ver=23
Medicare Advantage,CMS MAC: NGS J6,Cervical fusion / ACDF,22551,VERIFIED (CMS LCD/NCD),"Illinois, Minnesota, Wisconsin",LCD L39770 - Cervical Fusion,08/01/2024 (rev. eff. 04/09/2026),https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39770
Medicare Advantage,CMS MAC: NGS J6,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,VERIFIED (CMS LCD/NCD),"Illinois, Minnesota, Wisconsin",NCD 220.2 — Magnetic Resonance Imaging,04/10/2018,https://www.cms.gov/medicare-coverage-database/view/ncd.aspx?ncdid=177
Medicare Advantage,CMS MAC: NGS J6,Total hip arthroplasty (THA),27130,VERIFIED (CMS LCD/NCD),"Illinois, Minnesota, Wisconsin",Total Joint Arthroplasty (L36039),04/01/2026,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=36039&ver=13
Medicare Advantage,CMS MAC: NGS J6,Total knee arthroplasty (TKA),27447,VERIFIED (CMS LCD/NCD),"Illinois, Minnesota, Wisconsin",Total Joint Arthroplasty (L36039),04/01/2026,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=36039&ver=13
Medicare Advantage,CMS MAC: NGS JK,Cervical fusion / ACDF,22551,VERIFIED (CMS LCD/NCD),7 states,LCD L39770 - Cervical Fusion,08/01/2024 (rev. eff. 04/09/2026),https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39770
Medicare Advantage,CMS MAC: NGS JK,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,VERIFIED (CMS LCD/NCD),7 states,NCD 220.2 — Magnetic Resonance Imaging,04/10/2018,https://www.cms.gov/medicare-coverage-database/view/ncd.aspx?ncdid=177
Medicare Advantage,CMS MAC: NGS JK,Total hip arthroplasty (THA),27130,VERIFIED (CMS LCD/NCD),7 states,Total Joint Arthroplasty (L36039),04/01/2026,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=36039&ver=13
Medicare Advantage,CMS MAC: NGS JK,Total knee arthroplasty (TKA),27447,VERIFIED (CMS LCD/NCD),7 states,Total Joint Arthroplasty (L36039),04/01/2026,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=36039&ver=13
Medicare Advantage,CMS MAC: Noridian JE,Cervical fusion / ACDF,22551,VERIFIED (CMS LCD/NCD),"California, Hawaii, Nevada",LCD L39758 - Cervical Fusion,07/07/2024 (rev. eff. 09/11/2025),https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39758
Medicare Advantage,CMS MAC: Noridian JE,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,VERIFIED (CMS LCD/NCD),"California, Hawaii, Nevada",LCD L34220 — Lumbar MRI,10/01/2015; revision effective 10/23/202,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34220
Medicare Advantage,CMS MAC: Noridian JE,Total hip arthroplasty (THA),27130,VERIFIED (CMS LCD/NCD),"California, Hawaii, Nevada",Total Hip Arthroplasty (L34163),11/06/2025,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?LCDId=34163
Medicare Advantage,CMS MAC: Noridian JE,Total knee arthroplasty (TKA),27447,VERIFIED (CMS LCD/NCD),"California, Hawaii, Nevada",Total Knee Arthroplasty (L36575),11/06/2025,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?LCDId=36575
Medicare Advantage,CMS MAC: Noridian JF,Cervical fusion / ACDF,22551,VERIFIED (CMS LCD/NCD),10 states,LCD L39758 - Cervical Fusion,07/07/2024 (rev. eff. 09/11/2025),https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39758
Medicare Advantage,CMS MAC: Noridian JF,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,VERIFIED (CMS LCD/NCD),10 states,LCD L34220 — Lumbar MRI,10/01/2015; revision effective 10/23/202,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34220
Medicare Advantage,CMS MAC: Noridian JF,Total hip arthroplasty (THA),27130,VERIFIED (CMS LCD/NCD),10 states,Total Hip Arthroplasty (L34163),11/06/2025,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?LCDId=34163
Medicare Advantage,CMS MAC: Noridian JF,Total knee arthroplasty (TKA),27447,VERIFIED (CMS LCD/NCD),10 states,Total Knee Arthroplasty (L36575),11/06/2025,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?LCDId=36575
Medicare Advantage,CMS MAC: Novitas JH,Cervical fusion / ACDF,22551,VERIFIED (CMS LCD/NCD),7 states,LCD L39793 - Cervical Fusion,08/11/2024,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39793
Medicare Advantage,CMS MAC: Novitas JH,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,VERIFIED (CMS LCD/NCD),7 states,NCD 220.2 — Magnetic Resonance Imaging,04/10/2018,https://www.cms.gov/medicare-coverage-database/view/ncd.aspx?ncdid=177
Medicare Advantage,CMS MAC: Novitas JH,Total hip arthroplasty (THA),27130,VERIFIED (CMS LCD/NCD),7 states,Lower Extremity Major Joint Replacement (Hip and Knee) (L36007),11/14/2019,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?LCDId=36007
Medicare Advantage,CMS MAC: Novitas JH,Total knee arthroplasty (TKA),27447,VERIFIED (CMS LCD/NCD),7 states,Lower Extremity Major Joint Replacement (Hip and Knee) (L36007),11/14/2019,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?LCDId=36007
Medicare Advantage,CMS MAC: Novitas JL,Cervical fusion / ACDF,22551,VERIFIED (CMS LCD/NCD),"Delaware, District of Columbia, Maryland, New Jersey, Pennsylvania",LCD L39793 - Cervical Fusion,08/11/2024,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39793
Medicare Advantage,CMS MAC: Novitas JL,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,VERIFIED (CMS LCD/NCD),"Delaware, District of Columbia, Maryland, New Jersey, Pennsylvania",NCD 220.2 — Magnetic Resonance Imaging,04/10/2018,https://www.cms.gov/medicare-coverage-database/view/ncd.aspx?ncdid=177
Medicare Advantage,CMS MAC: Novitas JL,Total hip arthroplasty (THA),27130,VERIFIED (CMS LCD/NCD),"Delaware, District of Columbia, Maryland, New Jersey, Pennsylvania",Lower Extremity Major Joint Replacement (Hip and Knee) (L36007),11/14/2019,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?LCDId=36007
Medicare Advantage,CMS MAC: Novitas JL,Total knee arthroplasty (TKA),27447,VERIFIED (CMS LCD/NCD),"Delaware, District of Columbia, Maryland, New Jersey, Pennsylvania",Lower Extremity Major Joint Replacement (Hip and Knee) (L36007),11/14/2019,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?LCDId=36007
Medicare Advantage,CMS MAC: Palmetto GBA JJ,Cervical fusion / ACDF,22551,VERIFIED (CMS LCD/NCD),"Alabama, Georgia, Tennessee",LCD L39773 - Cervical Fusion,07/14/2024 (rev. eff. 01/16/2025),https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39773
Medicare Advantage,CMS MAC: Palmetto GBA JJ,Lumbar fusion,22612,VERIFIED (CMS LCD/NCD),"Alabama, Georgia, Tennessee",LCD L37848 - Lumbar Spinal Fusion,05/06/2019 (rev. eff. 09/12/2024),https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=37848
Medicare Advantage,CMS MAC: Palmetto GBA JJ,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,VERIFIED (CMS LCD/NCD),"Alabama, Georgia, Tennessee",NCD 220.2 — Magnetic Resonance Imaging,04/10/2018,https://www.cms.gov/medicare-coverage-database/view/ncd.aspx?ncdid=177
Medicare Advantage,CMS MAC: Palmetto GBA JJ,Total hip arthroplasty (THA),27130,VERIFIED (CMS LCD/NCD),"Alabama, Georgia, Tennessee",Total Joint Arthroplasty (L33456),06/15/2023,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?LCDId=33456
Medicare Advantage,CMS MAC: Palmetto GBA JJ,Total knee arthroplasty (TKA),27447,VERIFIED (CMS LCD/NCD),"Alabama, Georgia, Tennessee",Total Joint Arthroplasty (L33456),06/15/2023,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?LCDId=33456
Medicare Advantage,CMS MAC: Palmetto GBA JJ,Total shoulder arthroplasty,23472,VERIFIED (CMS LCD/NCD),"Alabama, Georgia, Tennessee",LCD L39956 - Total Shoulder Arthroplasty,03/27/2025,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39956
Medicare Advantage,CMS MAC: Palmetto GBA JM,Cervical fusion / ACDF,22551,VERIFIED (CMS LCD/NCD),"North Carolina, South Carolina, Virginia, West Virginia",LCD L39773 - Cervical Fusion,07/14/2024 (rev. eff. 01/16/2025),https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39773
Medicare Advantage,CMS MAC: Palmetto GBA JM,Lumbar fusion,22612,VERIFIED (CMS LCD/NCD),"North Carolina, South Carolina, Virginia, West Virginia",LCD L37848 - Lumbar Spinal Fusion,05/06/2019 (rev. eff. 09/12/2024),https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=37848
Medicare Advantage,CMS MAC: Palmetto GBA JM,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,VERIFIED (CMS LCD/NCD),"North Carolina, South Carolina, Virginia, West Virginia",NCD 220.2 — Magnetic Resonance Imaging,04/10/2018,https://www.cms.gov/medicare-coverage-database/view/ncd.aspx?ncdid=177
Medicare Advantage,CMS MAC: Palmetto GBA JM,Total hip arthroplasty (THA),27130,VERIFIED (CMS LCD/NCD),"North Carolina, South Carolina, Virginia, West Virginia",Total Joint Arthroplasty (L33456),06/15/2023,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?LCDId=33456
Medicare Advantage,CMS MAC: Palmetto GBA JM,Total knee arthroplasty (TKA),27447,VERIFIED (CMS LCD/NCD),"North Carolina, South Carolina, Virginia, West Virginia",Total Joint Arthroplasty (L33456),06/15/2023,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?LCDId=33456
Medicare Advantage,CMS MAC: Palmetto GBA JM,Total shoulder arthroplasty,23472,VERIFIED (CMS LCD/NCD),"North Carolina, South Carolina, Virginia, West Virginia",LCD L39956 - Total Shoulder Arthroplasty,03/27/2025,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39956
Medicare Advantage,CMS MAC: WPS J5,Cervical fusion / ACDF,22551,VERIFIED (CMS LCD/NCD),"Iowa, Kansas, Missouri, Nebraska",LCD L39788 - Cervical Fusion,07/14/2024 (rev. eff. 12/26/2024),https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39788
Medicare Advantage,CMS MAC: WPS J5,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,VERIFIED (CMS LCD/NCD),"Iowa, Kansas, Missouri, Nebraska",NCD 220.2 — Magnetic Resonance Imaging,04/10/2018,https://www.cms.gov/medicare-coverage-database/view/ncd.aspx?ncdid=177
Medicare Advantage,CMS MAC: WPS J5,Total hip arthroplasty (THA),27130,VERIFIED (CMS LCD/NCD),"Iowa, Kansas, Missouri, Nebraska",Total Joint Arthroplasty (L39911),02/28/2025,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39911&ver=7
Medicare Advantage,CMS MAC: WPS J5,Total knee arthroplasty (TKA),27447,VERIFIED (CMS LCD/NCD),"Iowa, Kansas, Missouri, Nebraska",Total Joint Arthroplasty (L39911),02/28/2025,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39911&ver=7
Medicare Advantage,CMS MAC: WPS J8,Cervical fusion / ACDF,22551,VERIFIED (CMS LCD/NCD),"Indiana, Michigan",LCD L39788 - Cervical Fusion,07/14/2024 (rev. eff. 12/26/2024),https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39788
Medicare Advantage,CMS MAC: WPS J8,Musculoskeletal MRI (knee/shoulder/lumbar),73721/73221/72148,VERIFIED (CMS LCD/NCD),"Indiana, Michigan",NCD 220.2 — Magnetic Resonance Imaging,04/10/2018,https://www.cms.gov/medicare-coverage-database/view/ncd.aspx?ncdid=177
Medicare Advantage,CMS MAC: WPS J8,Total hip arthroplasty (THA),27130,VERIFIED (CMS LCD/NCD),"Indiana, Michigan",Total Joint Arthroplasty (L39911),02/28/2025,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39911&ver=7
Medicare Advantage,CMS MAC: WPS J8,Total knee arthroplasty (TKA),27447,VERIFIED (CMS LCD/NCD),"Indiana, Michigan",Total Joint Arthroplasty (L39911),02/28/2025,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=39911&ver=7
